name,cuisines
CafeBrewbug,"FastFood,Beverages"
NathusSweets,"NorthIndian,SouthIndian,Chinese,StreetFood,FastFood,Mithai,Desserts"
RanaSweetsandRestaurant,"NorthIndian,FastFood,Mithai"
Hype,"FingerFood,Italian,MiddleEastern"
WatersideTheLandmarkHotel,"NorthIndian,Chinese"
PizzaKing,"Pizza,FastFood"
LittleChina,Chinese
ThePebblesBistro,European
GlobalGrill,"European,International,Tapas"
TexasRoadhouse,"American,BBQ,Steak"
MeetingPointCorner,Chinese
ChineseChilliSeasonal,Chinese
ArtofSpices,"FastFood,NorthIndian,Mughlai"
VarietyChickenCorner,NorthIndian
Fruitpro,Beverages
MomosHiMomos,Chinese
CoffeeCream,"Beverages,FastFood"
Haowin,"Chinese,Continental,Thai"
MyPlate,NorthIndian
CharuNandasHomeBakedCakes,"Bakery,Desserts"
PremJeeDaDhaba,NorthIndian
NitiShakeIceCreamHub,"Desserts,Beverages"
FiveGuys,"American,Burger"
IshwarSweets,Chinese
AKYourFood,NorthIndian
GreenValleyChineseFood,Chinese
KiheiCaffe,"American,Hawaiian"
GreenChickChop,"RawMeats,NorthIndian,FastFood"
HighStreetCaf,"NorthIndian,Continental,Chinese,Italian"
56Fresca,Italian
PakAfghanRestaurant,Afghani
PunjabiZaika,"NorthIndian,Mughlai,Chinese"
DunkinDonuts,"Burger,Desserts,FastFood"
WinonaForever,Cafe
BikanerSweetsRestaurant,"Mithai,SouthIndian,StreetFood"
NirulasIceCream,"Desserts,IceCream"
ValarmathiKongunaatuSamayal,"SouthIndian,Biryani"
RedBellagio,Chinese
Shahenshah,"NorthIndian,Mughlai,Chinese"
TheBlackSheepBistro,"Seafood,Continental,European,German"
TandooriNights,"Mughlai,NorthIndian"
JSBEvergreenSnackSweets,"NorthIndian,Chinese,FastFood,StreetFood"
VeerJeeRestaurant,"NorthIndian,Mughlai"
Sinyoras,Italian
AshokaSnacksCorner,"StreetFood,Chinese,NorthIndian"
3PegsDown,"Continental,Italian,NorthIndian"
CakesDegree,Bakery
Subway,"American,FastFood,Salad,HealthyFood"
OrganicExpress,"Cafe,HealthyFood,NorthIndian"
MaharajaRestaurant,"SouthIndian,NorthIndian"
BengaliRestaurant,"Bengali,Chinese"
SpicybyNature,"NorthIndian,Mughlai,Chinese"
TheOvenArtist,Bakery
IbaCafeRestaurant,"Japanese,American,NorthIndian,FastFood"
Chawlas2,"NorthIndian,Mughlai"
HindBakeryChineseFastFood,FastFood
Frontier,Bakery
Faasos,"NorthIndian,FastFood"
KBEatingPoint,"Chinese,SouthIndian"
